room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4241241,22007868,Entire home/apt,EAST,ALBERT PARK/RADISSON HEIGHTS,18,4.5,4,2.0,78.0,1.0,51.04225,-113.994915,2016-09-11 16:49:55.342283
4034107,4710258,Private room,CENTRE,CLIFF BUNGALOW,5,5.0,2,1.0,71.0,2.0,51.0378,-114.072017,2016-09-11 16:49:53.276872
3273025,16015979,Entire home/apt,CENTRE,CLIFF BUNGALOW,15,4.5,2,1.0,36.0,3.0,51.034439,-114.071543,2016-09-11 16:49:42.229725
8522944,44877086,Private room,CENTRE,MISSION,4,5.0,2,1.0,78.0,1.0,51.037497,-114.063037,2016-09-11 16:49:28.565056
10851516,56205604,Private room,SOUTH,SHAWNESSY,2,,2,1.0,56.0,2.0,50.912671,-114.081134,2016-09-11 16:48:37.722673
5941924,25815823,Entire home/apt,SOUTH,WILLOW PARK,4,5.0,10,5.0,125.0,6.0,50.959251,-114.068544,2016-09-11 16:48:33.750437
9197280,47842099,Entire home/apt,WEST,WESTGATE,0,,6,3.0,237.0,3.0,51.04808,-114.160846,2016-09-11 16:48:12.141896
13310215,5883350,Private room,CENTRE,SUNNYSIDE,9,5.0,2,1.0,56.0,1.0,51.054715,-114.081569,2016-09-11 16:48:09.619001
7049696,34565753,Entire home/apt,CENTRE,CHINATOWN,11,4.5,5,2.0,148.0,3.0,51.052037,-114.064973,2016-09-11 16:47:13.950437
5019868,9508821,Entire home/apt,CENTRE,BANKVIEW,9,5.0,4,2.0,67.0,2.0,51.031747,-114.102741,2016-09-11 16:47:09.113015
1268655,6905597,Private room,CENTRE,RAMSAY,6,5.0,2,1.0,67.0,1.0,51.035596,-114.041813,2016-09-11 16:46:20.229355
9025073,47114621,Private room,SOUTHEAST,MCKENZIE LAKE,0,,2,1.0,25.0,2.0,50.910528,-113.987277,2016-09-11 16:46:13.585568
10236460,52611622,Private room,WEST,GLENBROOK,12,4.5,1,1.0,24.0,2.0,51.030163,-114.157263,2016-09-11 16:46:11.518797
8919068,10858474,Entire home/apt,CENTRE,BELTLINE,7,5.0,4,2.0,83.0,1.0,51.042274,-114.061424,2016-09-11 16:45:55.555487
